S.No.,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price,depreciation_rate,car_age
2,Honda Jazz V,Chennai,2011,46000,Petrol,Manual,First,18.2,1199 CC,88.7 bhp,5.0,861000.0,4.5,99.99947735191638,14
7,Toyota Innova Crysta 2.8 GX AT 8S,Mumbai,2016,36000,Diesel,Automatic,First,11.36,2755 CC,171.5 bhp,8.0,2100000.0,17.5,99.99916666666667,9
10,Maruti Ciaz Zeta,Kochi,2018,25692,Petrol,Manual,First,21.56,1462 CC,103.25 bhp,5.0,1065000.0,9.95,99.99906572769953,7
15,Mitsubishi Pajero Sport 4X4,Delhi,2014,110000,Diesel,Manual,First,13.5,2477 CC,175.56 bhp,7.0,3201000.0,15.0,99.99953139643861,11
20,BMW 3 Series 320d,Kochi,2014,32982,Diesel,Automatic,First,22.69,1995 CC,190 bhp,5.0,4787000.0,18.55,99.99961249216629,11
28,Honda WRV i-VTEC VX,Kochi,2018,37430,Petrol,Manual,First,17.5,1199 CC,88.7 bhp,5.0,1057000.0,9.9,99.99906338694419,7
34,Volkswagen Vento 1.6 Highline,Coimbatore,2014,55431,Petrol,Manual,Second,16.09,1598 CC,103.5 bhp,5.0,1233000.0,6.98,99.99943390105433,11
36,Maruti Vitara Brezza ZDi Plus,Kochi,2018,50075,Diesel,Manual,First,24.3,1248 CC,88.5 bhp,5.0,1112000.0,8.63,99.99922392086333,7
44,Hyundai Elantra 2.0 SX Option AT,Bangalore,2014,46374,Petrol,Automatic,First,14.62,1999 CC,149.92 bhp,5.0,2364000.0,8.85,99.99962563451777,11
47,Toyota Innova Crysta 2.7 GX MT,Bangalore,2012,70704,Petrol,Manual,First,11.25,2694 CC,163.7 bhp,7.0,1864000.0,10.95,99.99941255364807,13
60,Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,2017,22000,Diesel,Manual,First,13.68,2393 CC,147.8 bhp,8.0,1934000.0,16.5,99.99914684591519,8
67,Mercedes-Benz C-Class Progressive C 220d,Coimbatore,2019,15369,Diesel,Automatic,First,0.0,1950 CC,194 bhp,5.0,4914000.0,35.67,99.99927411477412,6
69,Hyundai Creta 1.4 E Plus Diesel,Mumbai,2018,13000,Diesel,Manual,First,22.1,1396 CC,88.7 bhp,5.0,1181000.0,10.5,99.99911092294666,7
73,Nissan Terrano XV D Pre,Kochi,2015,56066,Diesel,Manual,First,19.64,1461 CC,108.5 bhp,5.0,1664999.9999999998,6.92,99.99958438438439,10
81,Tata Zest Revotron 1.2T XE,Pune,2017,70000,Petrol,Manual,First,17.57,1193 CC,88.7 bhp,5.0,667000.0,4.5,99.99932533733133,8
102,Datsun GO Plus T Petrol,Pune,2017,32851,Petrol,Manual,First,19.83,1198 CC,67 bhp,7.0,645000.0,3.95,99.99938759689924,8
106,Toyota Etios Liva 1.2 G,Ahmedabad,2014,53000,Petrol,Manual,First,17.71,1197 CC,78.9 bhp,5.0,641000.0,3.9,99.99939157566303,11
110,Toyota Innova Crysta 2.8 ZX AT,Mumbai,2017,30000,Diesel,Automatic,First,11.36,2755 CC,171.5 bhp,7.0,2700000.0,19.25,99.99928703703704,8
111,Maruti Eeco 5 Seater AC,Coimbatore,2017,38053,Petrol,Manual,First,15.1,1196 CC,73 bhp,5.0,513000.0,3.91,99.99923781676414,8
113,BMW 3 Series 320d Luxury Line,Mumbai,2015,56087,Diesel,Automatic,First,22.69,1995 CC,190 bhp,5.0,5443000.0,20.75,99.99961877641007,10
117,Nissan Micra XV CVT,Coimbatore,2016,39882,Petrol,Automatic,First,19.15,1198 CC,75.94 bhp,5.0,951000.0,6.55,99.99931125131441,9
119,Maruti Vitara Brezza VDi,Mumbai,2016,55000,Diesel,Manual,First,24.3,1248 CC,88.5 bhp,5.0,996000.0000000001,7.5,99.9992469879518,9
122,Hyundai Verna CRDi 1.6 SX Option,Kolkata,2018,10250,Diesel,Manual,First,22.0,1582 CC,126.2 bhp,5.0,1444000.0,10.95,99.99924168975069,7
133,Maruti Alto K10 VXI,Hyderabad,2014,88500,Petrol,Manual,First,24.07,998 CC,67.1 bhp,5.0,453000.0,2.6,99.99942604856513,11
